	score
CCND1	16.111929807662964
RAF1	16.104786891937255
GABARAPL2	16.085443649291992
SOCS1	16.058618602752684
TAF9	16.058002490997314
CTSS	16.045601558685302
MCL1	16.03383548736572
TNFSF11	16.02541666030884
TNFRSF10A	16.0244922542572
TNFAIP3	16.019210844039918
GABARAP	16.015905752182007
TAF10	16.00425624847412
INTS11	16.001535606384277
GTF2H3	15.98988977432251
CREB3	15.989106407165528
GTF2H5	15.985896129608154
PDGFA	15.960510959625244
SOS2	15.95576615333557
TAF1L	15.951078729629517
MDM2	15.942038822174073
NOS2	15.94197135925293
TAF12	15.939573183059693
PTPN22	15.939345836639404
PSMC3	15.939157981872558
NFYC	15.930134887695312
CTSD	15.929212446212768
RBBP7	15.92162851333618
STUB1	15.910313205718994
PSMD13	15.909254875183105
CDK4	15.886145725250245
PRKD2	15.874012937545777
CSK	15.863176641464234
PRKD3	15.86181438446045
NFYA	15.844742374420166
INTS13	15.829711751937866
H3-3A	15.826158828735352
LIG3	15.814312772750855
TP63	15.81186294555664
PTGS2	15.810882320404053
TGFB1	15.797794094085694
PSMC1	15.797770833969116
TAF1C	15.797629146575927
TAF1D	15.783412380218506
PIAS4	15.779234924316405
TP73	15.775394515991211
PSMD5	15.765680875778198
CYP17A1	15.759974117279052
TSC1	15.751568174362182
TRAF5	15.74529712677002
PAK2	15.730179796218872
FGF8	15.726958169937134
PSME1	15.713606567382813
PRMT6	15.707071933746338
CTSW	15.667338228225708
GTF2H2	15.665497045516968
SUZ12	15.65885848045349
BDNF	15.643600606918335
PSMA8	15.602459411621094
SPRY4	15.593928365707397
FGF23	15.590034427642822
GZMB	15.586299705505372
TLR7	15.582130861282348
TP53BP1	15.571099672317505
IL12B	15.566550512313842
TAF13	15.561872539520264
PSMD9	15.549126615524292
TCF7	15.529365024566651
ESR1	15.526436157226563
PYCARD	15.516146297454833
PSMD10	15.50352608680725
CREM	15.502685966491699
PRKG2	15.47127734184265
BRCA1	15.469733800888061
PPARA	15.461222038269042
NCOR2	15.460216207504272
CTSB	15.45646861076355
SPTAN1	15.456449184417725
FOSB	15.455045585632325
RAD9A	15.447135229110717
SIRT1	15.435266199111938
CAMK1	15.429600772857667
HLA-A	15.417023706436158
GTF2H1	15.4164817237854
TAF1B	15.415805521011352
IGBP1	15.40966142654419
COPRS	15.394946603775024
TAF11	15.39272759437561
YWHAE	15.368241910934449
SPI1	15.325274229049683
CAMK1D	15.315601367950439
CTSL	15.306875381469727
NFYB	15.303181695938111
PDX1	15.300647478103638
G6PC3	15.292801685333252
FGF4	15.280868320465087
RUNX2	15.242299137115479
PSMF1	15.221369199752807
RRAS	15.217547540664674
TEX15	15.205171155929566
NCOA2	15.193778772354126
G6PC2	15.189429206848144
YAP1	15.181560564041138
DAXX	15.164864177703857
CTSK	15.163533592224121
TAF1A	15.159546308517456
RAD17	15.142271461486816
SMARCA4	15.137627782821655
ELK1	15.136234855651855
PDGFD	15.124120712280273
SEM1	15.122528047561646
TRIM25	15.120464963912964
PSMC3IP	15.09678092956543
